reservation_id,customer_id,hotel_id,room_type,month_in,day_in,year_in,month_out,day_out,year_out
8585852705,7011029163,9157508009,Double,2,24,2020,9,7,2052
8032797802,7032566988,9525481450,Single,9,8,2012,8,15,2055
8408461216,7038151539,9413948382,Studio,5,10,2018,11,25,2059
8713962479,7041629423,9525481450,Suite,7,11,2006,11,8,2041
8277390145,7069627753,9525481450,Studio,10,17,2007,7,27,2052
8730078730,7138651113,9391223849,Suite,8,15,2013,9,14,2028
8699952894,7149374969,9525481450,Studio,6,2,2017,12,1,2040
8416230023,7160079564,9619761970,Studio,6,2,2000,11,21,2027
8673942460,7168258570,9157508009,Double,7,24,2007,12,29,2049
8232726575,7226396321,9157508009,Studio,10,3,2002,8,23,2060
